                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 2.3695,                 1.0095,                 2.6383,                0.96049,                0.88411,                 0.9291,                 0.4777,                 3.6968,                 1.3482,                 4.3171,              0.0017763,              0.0017763,              0.0017763
                    115,                 2.3708,                 1.0279,                 2.6346,                0.96743,                0.85455,                0.96456,                0.49016,                 3.7046,                 1.3041,                 4.3952,              0.0017743,              0.0017743,              0.0017743
                    116,                 2.4375,                 1.1061,                  2.657,                0.84683,                0.87273,                0.89327,                0.38644,                 4.0991,                  1.699,                 4.6705,              0.0017723,              0.0017723,              0.0017723
                    117,                  2.327,                0.97094,                  2.635,                0.74525,                0.74545,                0.82055,                0.45334,                  3.521,                  1.968,                 4.3464,              0.0017703,              0.0017703,              0.0017703
                    118,                 2.3066,                 1.0342,                 2.5782,                0.92428,                0.88775,                0.95011,                0.51703,                 3.6591,                 1.2169,                 4.5683,              0.0017683,              0.0017683,              0.0017683
                    119,                 2.3669,                 1.0235,                 2.6061,                0.88845,                0.72727,                0.83214,                0.43993,                 3.4986,                 1.9017,                 4.1171,              0.0017664,              0.0017664,              0.0017664
                    120,                 2.5068,                 1.1466,                 2.6679,                0.92681,                0.92106,                0.95131,                0.49032,                 3.6466,                 1.1723,                 4.5998,              0.0017644,              0.0017644,              0.0017644
                    121,                 2.4188,                 1.0241,                 2.6452,                0.81788,                0.78182,                0.89127,                0.48417,                  3.563,                 1.5514,                 4.5969,              0.0017624,              0.0017624,              0.0017624
                    122,                 2.3691,                 1.0864,                 2.6139,                0.88007,                0.96364,                0.96062,                0.49637,                 3.5391,                  1.255,                 4.1775,              0.0017604,              0.0017604,              0.0017604
                    123,                 2.2002,                 1.0126,                 2.5395,                0.89271,                0.90768,                0.90602,                0.46139,                 3.9028,                  1.539,                 4.6356,              0.0017584,              0.0017584,              0.0017584
