                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.5719,                 1.0897,                 2.8541,                0.95424,                0.92727,                0.95625,                0.48832,                 3.4107,                  1.197,                 4.1043,              0.0018376,              0.0018376,              0.0018376
                     84,                 2.4499,                 1.0156,                 2.7264,                 0.9292,                0.87273,                0.95323,                 0.5373,                 3.0737,                 1.2067,                 3.8197,              0.0018357,              0.0018357,              0.0018357
                     85,                 2.4527,                 1.1828,                 2.6795,                0.89462,                0.83636,                0.93849,                0.49313,                 3.4243,                 1.4562,                 4.1422,              0.0018337,              0.0018337,              0.0018337
                     86,                 2.4168,                 1.0682,                  2.641,                0.95805,                0.83061,                0.92659,                0.53194,                 3.0593,                 1.6061,                 3.6807,              0.0018317,              0.0018317,              0.0018317
                     87,                 2.5586,                 1.1336,                 2.7738,                0.96559,                0.90909,                0.92353,                0.54349,                 3.0777,                 1.3426,                 3.8497,              0.0018297,              0.0018297,              0.0018297
                     88,                 2.4621,                 1.1036,                 2.6723,                0.94988,                0.85455,                0.91258,                0.51099,                 3.1852,                 1.3271,                 3.8321,              0.0018277,              0.0018277,              0.0018277
                     89,                 2.4508,                 1.1019,                 2.7676,                0.83101,                0.92727,                0.92933,                0.50541,                 3.1098,                 1.2075,                 3.6714,              0.0018258,              0.0018258,              0.0018258
                     90,                 2.4491,                 1.0254,                 2.6232,                0.92275,                0.86875,                 0.9489,                0.56025,                 3.0811,                 1.1067,                 3.6496,              0.0018238,              0.0018238,              0.0018238
                     91,                 2.3665,                0.99684,                 2.6519,                0.89083,                0.89023,                0.95037,                0.48867,                 3.3579,                    1.4,                 3.7011,              0.0018218,              0.0018218,              0.0018218
                     92,                 2.4053,                 1.0873,                 2.6948,                0.93551,                0.87273,                0.94667,                0.50518,                 3.2729,                 1.5443,                 3.6487,              0.0018198,              0.0018198,              0.0018198
                     93,                 2.5767,                 1.1242,                 2.7335,                 0.8746,                0.94545,                0.93998,                0.46043,                 3.5693,                 1.6641,                 3.6431,              0.0018178,              0.0018178,              0.0018178
                     94,                 2.5592,                 1.1083,                  2.689,                 0.8761,                0.85455,                0.92973,                0.49239,                 3.1123,                 1.6508,                 3.5858,              0.0018159,              0.0018159,              0.0018159
                     95,                 2.5715,                 1.1283,                 2.6914,                0.86155,                0.85455,                0.91007,                0.42566,                 3.6204,                 2.0463,                 3.9969,              0.0018139,              0.0018139,              0.0018139
                     96,                 2.5749,                 1.0788,                 2.6543,                0.83456,                0.82553,                0.89008,                0.44676,                  3.257,                 1.7723,                 3.8541,              0.0018119,              0.0018119,              0.0018119
                     97,                 2.5631,                 1.1072,                  2.707,                0.75912,                0.91685,                0.89689,                0.45974,                 3.1732,                 1.7305,                 3.8573,              0.0018099,              0.0018099,              0.0018099
                     98,                 2.4841,                 1.0607,                 2.6931,                0.83366,                0.82011,                0.85963,                 0.4925,                 3.0923,                 1.5244,                 3.7845,              0.0018079,              0.0018079,              0.0018079
                     99,                  2.565,                 1.1359,                 2.6919,                0.97015,                0.87273,                0.96675,                0.59944,                 2.6859,                  1.137,                 3.3857,               0.001806,               0.001806,               0.001806
                    100,                 2.3357,                 1.0364,                 2.6043,                0.94704,                0.97541,                0.99108,                 0.5737,                 2.9951,                 1.0199,                 3.5772,               0.001804,               0.001804,               0.001804
                    101,                 2.4298,                 1.0284,                 2.5519,                0.95685,                0.90909,                0.96156,                0.56026,                 3.0362,                 1.0241,                 3.5151,               0.001802,               0.001802,               0.001802
                    102,                 2.3906,                 1.0322,                  2.622,                0.83581,                0.92727,                 0.9248,                0.52972,                 3.0673,                 1.3516,                 3.8618,                 0.0018,                 0.0018,                 0.0018
                    103,                 2.4796,                 1.1508,                 2.7024,                0.93683,                0.87273,                0.93448,                0.46957,                 3.4175,                 1.3226,                    3.9,               0.001798,               0.001798,               0.001798
                    104,                 2.4531,                 1.0415,                 2.6871,                0.94096,                0.86942,                0.94601,                0.53638,                 3.1782,                 1.1021,                 3.8355,              0.0017961,              0.0017961,              0.0017961
                    105,                 2.6351,                 1.0656,                  2.673,                0.87755,                0.90909,                 0.9457,                0.58711,                 3.0284,                   1.05,                 3.6834,              0.0017941,              0.0017941,              0.0017941
                    106,                 2.2502,                  1.012,                  2.523,                0.95752,                0.81976,                0.91117,                 0.5251,                 3.0541,                  1.423,                  3.794,              0.0017921,              0.0017921,              0.0017921
                    107,                 2.4539,                 1.0604,                 2.7075,                0.87097,                0.90909,                0.94062,                0.55354,                 3.0438,                 1.2387,                 3.8348,              0.0017901,              0.0017901,              0.0017901
                    108,                 2.3692,                 1.0754,                 2.6313,                0.96229,                0.92794,                0.97971,                0.54643,                 3.0692,                 1.0248,                 3.8322,              0.0017881,              0.0017881,              0.0017881
                    109,                 2.6052,                 1.0524,                 2.7562,                0.90618,                0.94545,                0.96619,                0.46762,                 3.4465,                 1.1769,                 4.1075,              0.0017862,              0.0017862,              0.0017862
                    110,                 2.4306,                 1.0275,                 2.6763,                0.97646,                0.85455,                0.95266,                0.55347,                 3.0123,                 1.1822,                 3.8645,              0.0017842,              0.0017842,              0.0017842
                    111,                 2.3091,                0.99746,                 2.5328,                0.94482,                0.85455,                0.93164,                0.45949,                 3.4443,                 1.5466,                 3.7654,              0.0017822,              0.0017822,              0.0017822
                    112,                 2.4766,                 1.0314,                 2.5928,                0.88762,                0.83636,                0.92258,                0.51668,                  3.181,                  1.256,                 3.8003,              0.0017802,              0.0017802,              0.0017802
                    113,                 2.2695,                0.95929,                 2.5345,                0.97861,                0.83196,                0.93182,                0.50091,                 3.3795,                 1.3208,                 3.8927,              0.0017782,              0.0017782,              0.0017782
                    114,                 2.2892,                0.99194,                 2.5606,                0.97763,                0.90909,                0.95198,                0.50726,                  3.309,                 1.3301,                 3.7877,              0.0017763,              0.0017763,              0.0017763
                    115,                 2.2539,                 1.0003,                 2.4867,                0.98031,                0.81818,                0.95633,                0.50402,                  3.427,                 1.4536,                  3.789,              0.0017743,              0.0017743,              0.0017743
                    116,                 2.2535,                0.92603,                 2.5715,                0.92086,                0.96364,                0.97682,                0.47109,                 3.5214,                 1.2054,                 4.0732,              0.0017723,              0.0017723,              0.0017723
                    117,                 2.4297,                 1.0111,                 2.6795,                0.89218,                0.83636,                0.93123,                0.41797,                 3.7263,                 1.3407,                 4.0913,              0.0017703,              0.0017703,              0.0017703
                    118,                 2.3524,                0.98207,                 2.6183,                0.81889,                0.83636,                0.82444,                0.39952,                 3.5891,                 1.8122,                 4.1375,              0.0017683,              0.0017683,              0.0017683
                    119,                 2.3857,                  1.039,                 2.6552,                0.93665,                0.80653,                0.90942,                0.50622,                 3.0994,                 1.5679,                 3.8412,              0.0017664,              0.0017664,              0.0017664
                    120,                   2.31,                 1.1016,                 2.5194,                0.89191,                0.94545,                 0.9736,                0.54527,                 3.1629,                 1.3022,                 3.9441,              0.0017644,              0.0017644,              0.0017644
                    121,                 2.3544,                 1.0695,                 2.5422,                0.85923,                0.88789,                0.92002,                 0.5221,                 3.0365,                 1.4945,                 3.8846,              0.0017624,              0.0017624,              0.0017624
                    122,                  2.315,                 1.0282,                 2.6225,                0.88928,                0.96364,                0.97154,                0.54834,                 2.9931,                 1.1917,                 3.7354,              0.0017604,              0.0017604,              0.0017604
                    123,                 2.3311,                0.93504,                 2.4918,                0.91105,                0.93117,                  0.976,                0.54329,                 2.9959,                 1.1277,                 3.7245,              0.0017584,              0.0017584,              0.0017584
